PABST_2,PABST_3,PABST_4,PABST_5,PABST_6,PABST_7,PABST_8,PABST_9,PABST_10,PABST_11,PABST_12,PABST_13,PABST_14,PABST_15,PABST_16,PABST_17,PABST_18,PABST_19,PABST_20,PABST_21,PABST_22,PABST_23,PABST_24,PABST_25,PABST_26,PABST_27,PABST_28,PABST_29,PABST_30,PABST_31,PABST_32,THT_1,THT_2,THT_3,THT_4,THT_5,THT_6,THT_7,THT_8,THT_9,THT_10,THT_11,THT_12,THT_13,THT_14,THT_15,THT_16,THT_17,THT_18,THT_19,THT_20,THT_21,THT_22,THT_23,THT_24,THT_25,THT_26,THT_27,THT_28,THT_29,THT_30,THT_31,THT_32,ZS,SSOCANZ1,SSOCANZ2,SSOCANZ3,SSOCANZ4,SSOCANZ5,SSOCANZ6,ISBACANZ1,ISBACANZ2,ISBACANZ3,ISBACANZ4,ISBACANZ5,ISBACANZ6,BLD_HEIGHT,TEB_T1,TEB_T2,TEB_T3,TEB_T4,TEB_T5,TEB_T6,TEB_P1,TEB_P2,TEB_P3,TEB_P4,TEB_P5,TEB_P6,ISBA_T1,ISBA_T2,ISBA_T3,ISBA_T4,ISBA_T5,ISBA_T6,ISBA_P1,ISBA_P2,ISBA_P3,ISBA_P4,ISBA_P5,ISBA_P6,longitude,latitude,X,Y,MNT
100866.47788,100112.68704,99215.51789,98153.87342,96899.90998,95416.66354,93662.79356,91592.94928,89157.42932,86301.4407,82967.86415,79097.35955,74629.24453,69511.37389,64003.07413,58638.48912,53657.01948,49032.49748,44737.70634,40746.63245,37037.01807,33592.90065,30400.15145,27444.51721,24711.21158,22189.16488,19874.26694,17770.38043,15880.4238,14191.96976,12683.29875,297,302,297,301,297,305.00741,305.92178,306.5361,306.90369,307.21623,307.44295,308.15743,308.93574,309.40808,309.87495,311.84428,315.45329,319.16139,322.22015,325.03077,326.9763,328.79486,330.48454,332.26141,333.75716,335.05462,336.79211,340.39756,347.9166,359.27799,371.23708,371.23708,46.81231,0.5,2,4,6.5,10,29.9046,999,999,999,999,999,999,19.43111,302.29,299.99,298.56,295.72,295.18,295,101514.78965,101497.37847,101474.16356,101378.80188,101179.34226,100947.93145,999,999,999,999,999,999,999,999,999,999,999,999,2.35137,48.86401,652050,6862500,35
100866.47788,100112.68704,99215.51789,98153.87342,96899.90998,95416.66354,93662.79356,91592.94928,89157.42932,86301.4407,82967.86415,79097.35955,74629.24453,69511.37389,64003.07413,58638.48912,53657.01948,49032.49748,44737.70634,40746.63245,37037.01807,33592.90065,30400.15145,27444.51721,24711.21158,22189.16488,19874.26694,17770.38043,15880.4238,14191.96976,12683.29875,291,296,291,299,293,305.00741,305.92178,306.5361,306.90369,307.21623,307.44295,308.15743,308.93574,309.40808,309.87495,311.84428,315.45329,319.16139,322.22015,325.03077,326.9763,328.79486,330.48454,332.26141,333.75716,335.05462,336.79211,340.39756,347.9166,359.27799,371.23708,371.23708,46.81231,0.5,2,4,6.5,10,29.9046,999,999,999,999,999,999,19.43111,302.2,299.6,298.44,297.31,294.62,294,101514.78965,101497.37847,101474.16356,101378.80188,101179.34226,100947.93145,999,999,999,999,999,999,999,999,999,999,999,999,2.35137,48.86401,652150,6862500,35
100866.47788,100112.68704,99215.51789,98153.87342,96899.90998,95416.66354,93662.79356,91592.94928,89157.42932,86301.4407,82967.86415,79097.35955,74629.24453,69511.37389,64003.07413,58638.48912,53657.01948,49032.49748,44737.70634,40746.63245,37037.01807,33592.90065,30400.15145,27444.51721,24711.21158,22189.16488,19874.26694,17770.38043,15880.4238,14191.96976,12683.29875,294,295,297,301,295,305.00741,305.92178,306.5361,306.90369,307.21623,307.44295,308.15743,308.93574,309.40808,309.87495,311.84428,315.45329,319.16139,322.22015,325.03077,326.9763,328.79486,330.48454,332.26141,333.75716,335.05462,336.79211,340.39756,347.9166,359.27799,371.23708,371.23708,46.81231,0.5,2,4,6.5,10,29.9046,999,999,999,999,999,999,19.43111,301.24,300.02,299.22,296.08,295.36,293.4,101514.78965,101497.37847,101474.16356,101378.80188,101179.34226,100947.93145,999,999,999,999,999,999,999,999,999,999,999,999,2.35137,48.86401,652250,6862500,35
100866.47788,100112.68704,99215.51789,98153.87342,96899.90998,95416.66354,93662.79356,91592.94928,89157.42932,86301.4407,82967.86415,79097.35955,74629.24453,69511.37389,64003.07413,58638.48912,53657.01948,49032.49748,44737.70634,40746.63245,37037.01807,33592.90065,30400.15145,27444.51721,24711.21158,22189.16488,19874.26694,17770.38043,15880.4238,14191.96976,12683.29875,302,290,291,302,295,305.00741,305.92178,306.5361,306.90369,307.21623,307.44295,308.15743,308.93574,309.40808,309.87495,311.84428,315.45329,319.16139,322.22015,325.03077,326.9763,328.79486,330.48454,332.26141,333.75716,335.05462,336.79211,340.39756,347.9166,359.27799,371.23708,371.23708,46.81231,0.5,2,4,6.5,10,29.9046,999,999,999,999,999,999,19.43111,302.08,299.54,299.64,295.54,295.74,294.96,101514.78965,101497.37847,101474.16356,101378.80188,101179.34226,100947.93145,999,999,999,999,999,999,999,999,999,999,999,999,2.35137,48.86401,652350,6862500,35
100866.47788,100112.68704,99215.51789,98153.87342,96899.90998,95416.66354,93662.79356,91592.94928,89157.42932,86301.4407,82967.86415,79097.35955,74629.24453,69511.37389,64003.07413,58638.48912,53657.01948,49032.49748,44737.70634,40746.63245,37037.01807,33592.90065,30400.15145,27444.51721,24711.21158,22189.16488,19874.26694,17770.38043,15880.4238,14191.96976,12683.29875,297,291,291,299,300,305.00741,305.92178,306.5361,306.90369,307.21623,307.44295,308.15743,308.93574,309.40808,309.87495,311.84428,315.45329,319.16139,322.22015,325.03077,326.9763,328.79486,330.48454,332.26141,333.75716,335.05462,336.79211,340.39756,347.9166,359.27799,371.23708,371.23708,46.81231,0.5,2,4,6.5,10,29.9046,999,999,999,999,999,999,19.43111,301.9,300.71,298.29,296.35,294.66,293.7,101514.78965,101497.37847,101474.16356,101378.80188,101179.34226,100947.93145,999,999,999,999,999,999,999,999,999,999,999,999,2.35137,48.86401,652450,6862500,35
100866.47788,100112.68704,99215.51789,98153.87342,96899.90998,95416.66354,93662.79356,91592.94928,89157.42932,86301.4407,82967.86415,79097.35955,74629.24453,69511.37389,64003.07413,58638.48912,53657.01948,49032.49748,44737.70634,40746.63245,37037.01807,33592.90065,30400.15145,27444.51721,24711.21158,22189.16488,19874.26694,17770.38043,15880.4238,14191.96976,12683.29875,300,293,301,299,294,305.00741,305.92178,306.5361,306.90369,307.21623,307.44295,308.15743,308.93574,309.40808,309.87495,311.84428,315.45329,319.16139,322.22015,325.03077,326.9763,328.79486,330.48454,332.26141,333.75716,335.05462,336.79211,340.39756,347.9166,359.27799,371.23708,371.23708,46.81231,0.5,2,4,6.5,10,29.9046,999,999,999,999,999,999,19.43111,302.92,301.1,299.49,297.94,294.92,293.78,101514.78965,101497.37847,101474.16356,101378.80188,101179.34226,100947.93145,999,999,999,999,999,999,999,999,999,999,999,999,2.35137,48.86401,652550,6862500,35
100866.47788,100112.68704,99215.51789,98153.87342,96899.90998,95416.66354,93662.79356,91592.94928,89157.42932,86301.4407,82967.86415,79097.35955,74629.24453,69511.37389,64003.07413,58638.48912,53657.01948,49032.49748,44737.70634,40746.63245,37037.01807,33592.90065,30400.15145,27444.51721,24711.21158,22189.16488,19874.26694,17770.38043,15880.4238,14191.96976,12683.29875,300,300,293,296,295,305.00741,305.92178,306.5361,306.90369,307.21623,307.44295,308.15743,308.93574,309.40808,309.87495,311.84428,315.45329,319.16139,322.22015,325.03077,326.9763,328.79486,330.48454,332.26141,333.75716,335.05462,336.79211,340.39756,347.9166,359.27799,371.23708,371.23708,46.81231,0.5,2,4,6.5,10,29.9046,999,999,999,999,999,999,19.43111,302.5,299.27,298.23,295.69,294.88,293.86,101514.78965,101497.37847,101474.16356,101378.80188,101179.34226,100947.93145,999,999,999,999,999,999,999,999,999,999,999,999,2.35137,48.86401,652650,6862500,35
100866.47788,100112.68704,99215.51789,98153.87342,96899.90998,95416.66354,93662.79356,91592.94928,89157.42932,86301.4407,82967.86415,79097.35955,74629.24453,69511.37389,64003.07413,58638.48912,53657.01948,49032.49748,44737.70634,40746.63245,37037.01807,33592.90065,30400.15145,27444.51721,24711.21158,22189.16488,19874.26694,17770.38043,15880.4238,14191.96976,12683.29875,290,303,290,293,299,305.00741,305.92178,306.5361,306.90369,307.21623,307.44295,308.15743,308.93574,309.40808,309.87495,311.84428,315.45329,319.16139,322.22015,325.03077,326.9763,328.79486,330.48454,332.26141,333.75716,335.05462,336.79211,340.39756,347.9166,359.27799,371.23708,371.23708,46.81231,0.5,2,4,6.5,10,29.9046,999,999,999,999,999,999,19.43111,302.29,301.31,297.3,296.29,294.92,293.5,101514.78965,101497.37847,101474.16356,101378.80188,101179.34226,100947.93145,999,999,999,999,999,999,999,999,999,999,999,999,2.35137,48.86401,652050,6862600,35
100866.47788,100112.68704,99215.51789,98153.87342,96899.90998,95416.66354,93662.79356,91592.94928,89157.42932,86301.4407,82967.86415,79097.35955,74629.24453,69511.37389,64003.07413,58638.48912,53657.01948,49032.49748,44737.70634,40746.63245,37037.01807,33592.90065,30400.15145,27444.51721,24711.21158,22189.16488,19874.26694,17770.38043,15880.4238,14191.96976,12683.29875,300,295,298,291,300,305.00741,305.92178,306.5361,306.90369,307.21623,307.44295,308.15743,308.93574,309.40808,309.87495,311.84428,315.45329,319.16139,322.22015,325.03077,326.9763,328.79486,330.48454,332.26141,333.75716,335.05462,336.79211,340.39756,347.9166,359.27799,371.23708,371.23708,46.81231,0.5,2,4,6.5,10,29.9046,999,999,999,999,999,999,19.43111,303.52,300.44,299.94,297.76,294.92,293.28,101514.78965,101497.37847,101474.16356,101378.80188,101179.34226,100947.93145,999,999,999,999,999,999,999,999,999,999,999,999,2.35137,48.86401,652150,6862600,35
100866.47788,100112.68704,99215.51789,98153.87342,96899.90998,95416.66354,93662.79356,91592.94928,89157.42932,86301.4407,82967.86415,79097.35955,74629.24453,69511.37389,64003.07413,58638.48912,53657.01948,49032.49748,44737.70634,40746.63245,37037.01807,33592.90065,30400.15145,27444.51721,24711.21158,22189.16488,19874.26694,17770.38043,15880.4238,14191.96976,12683.29875,297,300,303,301,302,305.00741,305.92178,306.5361,306.90369,307.21623,307.44295,308.15743,308.93574,309.40808,309.87495,311.84428,315.45329,319.16139,322.22015,325.03077,326.9763,328.79486,330.48454,332.26141,333.75716,335.05462,336.79211,340.39756,347.9166,359.27799,371.23708,371.23708,46.81231,0.5,2,4,6.5,10,29.9046,999,999,999,999,999,999,19.43111,302.17,299.06,297.78,295.84,295.98,293.22,101514.78965,101497.37847,101474.16356,101378.80188,101179.34226,100947.93145,999,999,999,999,999,999,999,999,999,999,999,999,2.35137,48.86401,652250,6862600,35
